strain_id,A_MTX_5-FC.HNM1_TPO1,A_MTX_Fluconazole.HNM1_TPO1,A_MTX_Metformin.HNM1_TPO1,A_MTX_Trifluoperazine.HNM1_TPO1,A_MTX_noDrug.HNM1_TPO1,A_noMTX_5-FC.HNM1_TPO1,A_noMTX_Fluconazole.HNM1_TPO1,A_noMTX_Metformin.HNM1_TPO1,A_noMTX_Trifluoperazine.HNM1_TPO1,A_noMTX_noDrug.HNM1_TPO1,B_MTX_5-FC.HNM1_TPO1,B_MTX_Fluconazole.HNM1_TPO1,B_MTX_Metformin.HNM1_TPO1,B_MTX_Trifluoperazine.HNM1_TPO1,B_MTX_noDrug.HNM1_TPO1,B_noMTX_5-FC.HNM1_TPO1,B_noMTX_Fluconazole.HNM1_TPO1,B_noMTX_Metformin.HNM1_TPO1,B_noMTX_Trifluoperazine.HNM1_TPO1,B_noMTX_noDrug.HNM1_TPO1,T0_noMTX_noDrug.HNM1_TPO1
495,5.0,0.0,521.0,3.0,3.0,1419.0,44.0,1121.0,52.0,701.0,4.0,1.0,456.0,2.0,4.0,1109.0,161.0,1044.0,1021.0,732.0,200.0
50,32.0,7.0,133.0,29.0,7.0,16.0,7.0,59.0,5.0,5.0,40.0,35.0,143.0,17.0,7.0,54.0,5.0,8.0,40.0,8.0,6.0
503,1.0,0.0,3.0,3.0,0.0,50.0,5.0,15.0,12.0,47.0,2.0,0.0,3.0,0.0,1.0,35.0,29.0,7.0,33.0,7.0,17.0
507,1.0,0.0,22.0,4.0,2.0,772.0,503.0,317.0,12.0,165.0,0.0,0.0,18.0,0.0,2.0,430.0,101.0,303.0,241.0,87.0,202.0
508,0.0,6.0,41.0,0.0,0.0,8.0,8.0,32.0,8.0,26.0,2.0,5.0,18.0,3.0,4.0,28.0,6.0,15.0,6.0,12.0,7.0
52,0.0,0.0,3.0,3.0,1.0,1.0,4.0,1.0,0.0,5.0,2.0,0.0,2.0,1.0,0.0,5.0,2.0,2.0,3.0,1.0,0.0
520,1.0,1.0,5.0,2.0,1.0,5.0,0.0,6.0,2.0,1.0,4.0,0.0,4.0,2.0,0.0,6.0,0.0,1.0,4.0,2.0,2.0
521,10.0,1.0,17.0,14.0,9.0,43.0,10.0,193.0,58.0,31.0,11.0,1.0,10.0,22.0,40.0,91.0,19.0,61.0,182.0,42.0,14.0
522,9.0,1.0,100.0,8.0,5.0,235.0,8.0,149.0,11.0,68.0,10.0,1.0,27.0,8.0,7.0,151.0,11.0,127.0,121.0,109.0,27.0
523,1755.0,125.0,3064.0,2716.0,1764.0,1954.0,861.0,1300.0,63.0,1888.0,2648.0,1083.0,3223.0,2410.0,3124.0,1328.0,2023.0,1512.0,1296.0,1626.0,248.0
524,346.0,146.0,54.0,91.0,210.0,234.0,19.0,218.0,11.0,174.0,588.0,155.0,98.0,192.0,114.0,183.0,70.0,173.0,239.0,36.0,28.0
525,1934.0,93.0,1404.0,1444.0,1576.0,1842.0,320.0,1319.0,24.0,581.0,2982.0,70.0,1003.0,2034.0,1514.0,846.0,278.0,782.0,536.0,634.0,195.0
531,4.0,7.0,4.0,7.0,2.0,3.0,3.0,4.0,2.0,2.0,7.0,0.0,6.0,4.0,4.0,6.0,3.0,1.0,1.0,2.0,0.0
532,5.0,9.0,8.0,7.0,3.0,1.0,14.0,6.0,3.0,4.0,4.0,2.0,7.0,10.0,4.0,2.0,9.0,3.0,2.0,2.0,1.0
535,43.0,69.0,30.0,21.0,18.0,20.0,19.0,24.0,16.0,24.0,93.0,16.0,34.0,67.0,21.0,59.0,7.0,16.0,18.0,25.0,6.0
538,3084.0,3675.0,2471.0,3303.0,2256.0,2474.0,1128.0,2324.0,38.0,916.0,4942.0,4162.0,2025.0,3076.0,3658.0,1582.0,3016.0,1466.0,933.0,886.0,150.0
539,204.0,116.0,434.0,349.0,721.0,143.0,179.0,162.0,16.0,65.0,467.0,1625.0,288.0,515.0,590.0,138.0,33.0,67.0,203.0,162.0,10.0
540,2467.0,1609.0,678.0,1647.0,2998.0,2857.0,1706.0,2336.0,56.0,1827.0,4604.0,783.0,693.0,3931.0,2659.0,2230.0,1396.0,1574.0,1290.0,806.0,659.0
541,1.0,2.0,2.0,6.0,1.0,7.0,5.0,8.0,5.0,5.0,1.0,0.0,2.0,5.0,3.0,4.0,7.0,9.0,5.0,12.0,1.0
543,3.0,0.0,3.0,0.0,2.0,0.0,39.0,2.0,2.0,1.0,2.0,0.0,1.0,4.0,1.0,1.0,65.0,0.0,4.0,0.0,2.0
545,79.0,5221.0,30.0,79.0,53.0,43.0,21.0,12.0,5.0,24.0,142.0,381.0,18.0,77.0,88.0,38.0,57.0,15.0,25.0,50.0,12.0
546,2.0,12.0,126.0,3.0,6.0,906.0,195.0,703.0,19.0,521.0,2.0,3.0,135.0,3.0,2.0,678.0,284.0,516.0,767.0,163.0,104.0
557,4.0,2.0,9.0,3.0,3.0,8.0,7.0,20.0,10.0,9.0,15.0,9.0,8.0,19.0,4.0,26.0,9.0,4.0,8.0,12.0,2.0
559,94.0,10.0,103.0,776.0,1.0,10.0,6.0,102.0,25.0,44.0,36.0,5.0,665.0,5.0,82.0,162.0,7.0,44.0,165.0,74.0,20.0
564,87.0,219.0,139.0,246.0,136.0,44.0,14.0,41.0,5.0,37.0,98.0,41.0,96.0,258.0,216.0,42.0,22.0,39.0,20.0,26.0,34.0
567,11.0,8.0,47.0,11.0,4.0,22.0,16.0,24.0,8.0,9.0,30.0,1.0,26.0,12.0,9.0,20.0,19.0,19.0,20.0,24.0,4.0
57,1.0,0.0,4.0,1.0,0.0,192.0,4.0,61.0,1.0,64.0,7.0,0.0,2.0,3.0,0.0,158.0,5.0,11.0,244.0,42.0,9.0
571,112.0,3.0,226.0,186.0,48.0,392.0,33.0,352.0,11.0,267.0,175.0,0.0,337.0,116.0,88.0,172.0,560.0,285.0,285.0,190.0,34.0
574,1.0,0.0,6.0,4.0,2.0,153.0,28.0,67.0,11.0,106.0,2.0,0.0,5.0,1.0,1.0,132.0,11.0,60.0,403.0,56.0,47.0
576,2.0,35.0,7.0,1.0,4.0,4.0,10.0,10.0,1.0,1.0,3.0,4.0,3.0,4.0,2.0,8.0,4.0,10.0,3.0,5.0,1.0
578,1362.0,12711.0,1311.0,3328.0,4466.0,1185.0,2321.0,1128.0,39.0,1071.0,2601.0,13048.0,1393.0,4158.0,6503.0,1013.0,3753.0,739.0,2497.0,841.0,352.0
58,2.0,1.0,4.0,2.0,2.0,0.0,6.0,1.0,0.0,5.0,3.0,0.0,3.0,8.0,1.0,5.0,1.0,4.0,4.0,2.0,11.0
581,3.0,10.0,3.0,4.0,2.0,8.0,4.0,11.0,11.0,11.0,3.0,3.0,2.0,1.0,2.0,8.0,15.0,2.0,6.0,7.0,0.0
