strain_id,A_MTX_5-FC.HNM1_MID2,A_MTX_Fluconazole.HNM1_MID2,A_MTX_Metformin.HNM1_MID2,A_MTX_Trifluoperazine.HNM1_MID2,A_MTX_noDrug.HNM1_MID2,A_noMTX_5-FC.HNM1_MID2,A_noMTX_Fluconazole.HNM1_MID2,A_noMTX_Metformin.HNM1_MID2,A_noMTX_Trifluoperazine.HNM1_MID2,A_noMTX_noDrug.HNM1_MID2,B_MTX_5-FC.HNM1_MID2,B_MTX_Fluconazole.HNM1_MID2,B_MTX_Metformin.HNM1_MID2,B_MTX_Trifluoperazine.HNM1_MID2,B_MTX_noDrug.HNM1_MID2,B_noMTX_5-FC.HNM1_MID2,B_noMTX_Fluconazole.HNM1_MID2,B_noMTX_Metformin.HNM1_MID2,B_noMTX_Trifluoperazine.HNM1_MID2,B_noMTX_noDrug.HNM1_MID2,T0_noMTX_noDrug.HNM1_MID2
473,6.0,4.0,23.0,1.0,4.0,65.0,33.0,37.0,71,10.0,8.0,5.0,38.0,1.0,1.0,46.0,6.0,98.0,16.0,31.0,21.0
475,34.0,313.0,5459.0,14.0,8.0,8163.0,7836.0,13121.0,11244,976.0,163.0,262.0,9558.0,21.0,29.0,4908.0,5005.0,16466.0,4418.0,4693.0,2889.0
476,3.0,50.0,256.0,12.0,3.0,3548.0,1777.0,2318.0,6192,294.0,74.0,9.0,638.0,5.0,3.0,1377.0,3316.0,3099.0,2738.0,2628.0,1847.0
48,7.0,11.0,6.0,3.0,1.0,65.0,28.0,66.0,108,6.0,14.0,6.0,22.0,4.0,1.0,18.0,6.0,109.0,40.0,26.0,35.0
485,4.0,20.0,3.0,1.0,2.0,12.0,1.0,2.0,8,1.0,3.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0
486,74.0,12.0,128.0,10.0,111.0,25.0,26.0,85.0,51,3.0,80.0,2.0,202.0,73.0,51.0,25.0,8.0,158.0,11.0,27.0,6.0
491,79.0,2.0,91.0,158.0,112.0,65.0,6.0,50.0,128,9.0,416.0,3.0,296.0,166.0,90.0,35.0,8.0,94.0,55.0,48.0,50.0
493,12.0,17.0,13.0,22.0,17.0,72.0,28.0,52.0,49,5.0,89.0,26.0,48.0,13.0,22.0,7.0,4.0,38.0,17.0,12.0,40.0
495,11.0,4.0,486.0,0.0,3.0,1969.0,242.0,1198.0,2137,104.0,81.0,0.0,919.0,3.0,0.0,841.0,429.0,1311.0,652.0,429.0,268.0
50,4.0,6.0,0.0,0.0,11.0,2.0,3.0,2.0,15,2.0,9.0,5.0,18.0,3.0,5.0,2.0,3.0,10.0,7.0,6.0,4.0
503,2.0,5.0,2.0,0.0,1.0,170.0,62.0,82.0,144,9.0,7.0,0.0,41.0,1.0,0.0,75.0,60.0,102.0,65.0,52.0,52.0
507,1.0,6.0,13.0,3.0,1.0,239.0,11.0,118.0,169,3.0,3.0,0.0,18.0,1.0,0.0,155.0,20.0,176.0,75.0,81.0,138.0
508,20.0,305.0,75.0,12.0,1.0,77.0,46.0,46.0,90,2.0,31.0,24.0,65.0,2.0,1.0,24.0,206.0,49.0,37.0,25.0,48.0
52,1.0,3.0,10.0,0.0,1.0,45.0,3.0,94.0,38,6.0,6.0,3.0,112.0,0.0,1.0,39.0,14.0,147.0,14.0,31.0,13.0
520,5.0,1.0,2.0,1.0,3.0,4.0,2.0,5.0,16,4.0,5.0,1.0,5.0,1.0,0.0,5.0,0.0,4.0,3.0,3.0,1.0
521,7.0,0.0,9.0,2.0,4.0,863.0,11.0,444.0,465,70.0,35.0,12.0,20.0,2.0,4.0,668.0,6.0,80.0,86.0,206.0,244.0
522,12.0,5.0,48.0,1.0,5.0,174.0,38.0,215.0,253,55.0,36.0,9.0,67.0,6.0,4.0,108.0,88.0,416.0,148.0,95.0,65.0
523,3024.0,465.0,5107.0,960.0,3087.0,3353.0,1411.0,2681.0,3068,428.0,15467.0,17381.0,8477.0,985.0,2734.0,1578.0,316.0,3577.0,820.0,863.0,308.0
524,107.0,194.0,204.0,31.0,95.0,472.0,52.0,221.0,63,12.0,1166.0,89.0,121.0,28.0,82.0,59.0,120.0,112.0,58.0,56.0,25.0
525,781.0,66.0,244.0,246.0,819.0,333.0,32.0,356.0,296,27.0,4380.0,7.0,968.0,430.0,741.0,176.0,61.0,394.0,69.0,66.0,97.0
531,2.0,11.0,2.0,4.0,5.0,25.0,0.0,7.0,48,1.0,9.0,2.0,6.0,3.0,1.0,6.0,14.0,15.0,15.0,12.0,12.0
532,1.0,8.0,8.0,0.0,8.0,344.0,39.0,81.0,292,13.0,3.0,17.0,18.0,0.0,1.0,152.0,77.0,141.0,74.0,56.0,12.0
535,815.0,498.0,70.0,296.0,386.0,451.0,49.0,138.0,605,43.0,1602.0,493.0,152.0,364.0,320.0,263.0,137.0,179.0,216.0,264.0,100.0
538,618.0,116.0,380.0,404.0,809.0,547.0,716.0,523.0,669,66.0,4444.0,13.0,777.0,533.0,625.0,265.0,1296.0,490.0,311.0,236.0,122.0
539,232.0,442.0,483.0,81.0,399.0,443.0,280.0,360.0,705,69.0,1259.0,200.0,606.0,78.0,130.0,127.0,284.0,244.0,129.0,172.0,53.0
540,1116.0,313.0,650.0,814.0,1547.0,2261.0,636.0,986.0,361,42.0,7325.0,157.0,1000.0,717.0,925.0,613.0,1015.0,799.0,290.0,290.0,377.0
541,7.0,2.0,182.0,3.0,17.0,262.0,49.0,76.0,263,6.0,9.0,1.0,172.0,10.0,6.0,92.0,26.0,213.0,87.0,63.0,16.0
543,3.0,4.0,0.0,0.0,1.0,18.0,11.0,8.0,41,3.0,3.0,2.0,6.0,1.0,0.0,12.0,15.0,29.0,26.0,27.0,52.0
545,185.0,4570.0,91.0,71.0,209.0,146.0,114.0,111.0,249,20.0,1279.0,843.0,158.0,30.0,114.0,113.0,443.0,144.0,67.0,63.0,49.0
546,2.0,72.0,52.0,1.0,9.0,427.0,132.0,302.0,242,3.0,12.0,13.0,125.0,1.0,2.0,118.0,80.0,163.0,133.0,96.0,39.0
557,5.0,3.0,8.0,6.0,8.0,113.0,3.0,58.0,139,8.0,21.0,0.0,63.0,5.0,2.0,52.0,139.0,68.0,40.0,32.0,10.0
559,4.0,9.0,1.0,189.0,32.0,6.0,3.0,7.0,1578,0.0,4.0,7.0,6.0,3.0,3.0,40.0,7.0,5.0,7.0,6.0,12.0
564,4.0,65.0,21.0,2.0,36.0,9.0,13.0,19.0,27,2.0,82.0,37.0,7.0,25.0,9.0,12.0,20.0,22.0,10.0,7.0,6.0
567,236.0,6.0,142.0,35.0,161.0,186.0,25.0,177.0,144,21.0,617.0,4.0,244.0,31.0,109.0,44.0,16.0,77.0,35.0,52.0,30.0
57,0.0,1.0,16.0,0.0,1.0,76.0,1.0,97.0,49,5.0,4.0,1.0,19.0,2.0,0.0,43.0,7.0,83.0,22.0,16.0,27.0
571,69.0,12.0,15.0,9.0,58.0,124.0,72.0,55.0,219,5.0,326.0,8.0,38.0,32.0,36.0,44.0,38.0,72.0,61.0,53.0,12.0
574,4.0,0.0,38.0,1.0,1.0,125.0,28.0,47.0,92,6.0,7.0,0.0,11.0,3.0,0.0,58.0,30.0,65.0,56.0,41.0,18.0
576,0.0,60.0,20.0,0.0,4.0,105.0,0.0,48.0,21,1.0,4.0,17.0,16.0,3.0,2.0,39.0,4.0,36.0,16.0,13.0,6.0
578,1416.0,44951.0,614.0,1285.0,2563.0,1237.0,1488.0,674.0,1812,69.0,10060.0,16576.0,1820.0,2076.0,1675.0,618.0,1494.0,864.0,635.0,391.0,388.0
58,2.0,1.0,0.0,2.0,6.0,14.0,9.0,7.0,104,3.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,8.0,55.0,8.0,47.0
581,1.0,25.0,41.0,0.0,0.0,439.0,35.0,194.0,335,36.0,3.0,6.0,49.0,1.0,0.0,215.0,41.0,286.0,186.0,143.0,40.0
586,21.0,36.0,236.0,7.0,22.0,360.0,70.0,353.0,540,53.0,41.0,8.0,306.0,12.0,5.0,310.0,158.0,319.0,179.0,140.0,68.0
588,30.0,4.0,16.0,14.0,25.0,30.0,15.0,25.0,91,10.0,78.0,1.0,21.0,24.0,22.0,18.0,2.0,42.0,39.0,32.0,12.0
589,1.0,175.0,138.0,0.0,1.0,510.0,2199.0,231.0,682,76.0,11.0,27.0,138.0,6.0,0.0,288.0,443.0,1025.0,255.0,246.0,135.0
590,4.0,2.0,5.0,3.0,2.0,15.0,7.0,15.0,35,9.0,6.0,4.0,2.0,2.0,2.0,12.0,6.0,24.0,26.0,13.0,6.0
596,2.0,31.0,8.0,2.0,0.0,116.0,41.0,115.0,356,14.0,2.0,1.0,13.0,0.0,0.0,108.0,20.0,88.0,83.0,186.0,33.0
598,493.0,404.0,133.0,346.0,888.0,273.0,8.0,136.0,231,12.0,4772.0,45.0,344.0,483.0,392.0,107.0,267.0,292.0,74.0,48.0,65.0
599,730.0,8.0,119.0,214.0,794.0,494.0,118.0,236.0,326,33.0,3966.0,30.0,546.0,568.0,494.0,241.0,22.0,289.0,180.0,85.0,95.0
599_ref1,4.0,1.0,6.0,3.0,1.0,178.0,30.0,235.0,109,15.0,5.0,1.0,5.0,2.0,1.0,140.0,8.0,208.0,32.0,45.0,357.0
599_ref2,2.0,2.0,4.0,0.0,0.0,167.0,8.0,270.0,164,36.0,0.0,0.0,9.0,1.0,0.0,121.0,7.0,245.0,75.0,49.0,428.0
6,3.0,3.0,1.0,0.0,4.0,9.0,10.0,10.0,22,1.0,1.0,1.0,4.0,0.0,1.0,1.0,2.0,6.0,8.0,4.0,3.0
60,4569.0,3.0,1804.0,3615.0,4632.0,4845.0,353.0,3063.0,3674,97.0,30358.0,0.0,3957.0,3748.0,3287.0,1520.0,554.0,4037.0,2737.0,632.0,409.0
61,1.0,0.0,2.0,0.0,3.0,1.0,0.0,6.0,15,0.0,8.0,2.0,2.0,0.0,2.0,0.0,1.0,5.0,0.0,1.0,1.0
611,3.0,41.0,86.0,1.0,1.0,340.0,114.0,451.0,173,21.0,16.0,3.0,199.0,2.0,0.0,127.0,60.0,395.0,121.0,65.0,109.0
616,318.0,165.0,335.0,48.0,404.0,544.0,192.0,326.0,524,30.0,1794.0,2.0,421.0,127.0,272.0,213.0,88.0,329.0,260.0,175.0,76.0
619,6.0,9.0,0.0,0.0,6.0,11.0,6.0,6.0,16,3.0,7.0,0.0,0.0,4.0,0.0,6.0,6.0,7.0,8.0,12.0,5.0
622,3.0,3.0,25.0,2.0,8.0,515.0,17.0,187.0,544,35.0,25.0,1.0,83.0,3.0,3.0,168.0,77.0,253.0,151.0,140.0,41.0
627,10.0,4.0,3.0,1.0,7.0,10.0,8.0,12.0,26,5.0,7.0,2.0,8.0,2.0,1.0,10.0,12.0,16.0,11.0,11.0,5.0
631,455.0,20.0,403.0,73.0,173.0,1238.0,35.0,441.0,913,107.0,1106.0,11.0,492.0,66.0,224.0,579.0,41.0,807.0,273.0,383.0,90.0
632,50.0,8.0,46.0,40.0,73.0,182.0,213.0,134.0,379,14.0,135.0,14.0,88.0,67.0,12.0,92.0,94.0,115.0,128.0,69.0,26.0
636,3.0,3.0,64.0,1.0,3.0,221.0,31.0,97.0,170,8.0,11.0,2.0,123.0,0.0,3.0,130.0,16.0,281.0,76.0,53.0,29.0
638,5.0,2.0,3.0,0.0,12.0,139.0,50.0,21.0,42,5.0,40.0,1.0,32.0,8.0,6.0,40.0,5.0,54.0,25.0,33.0,23.0
639,34.0,3.0,10.0,12.0,85.0,9.0,5.0,6.0,24,1.0,146.0,0.0,18.0,48.0,25.0,9.0,5.0,22.0,38.0,13.0,6.0
64,32.0,24.0,26.0,71.0,192.0,86.0,6.0,60.0,68,9.0,183.0,7.0,52.0,75.0,60.0,13.0,9.0,135.0,58.0,18.0,22.0
640,68.0,16.0,47.0,43.0,65.0,140.0,9.0,150.0,114,2.0,592.0,4.0,52.0,19.0,51.0,61.0,55.0,141.0,66.0,74.0,41.0
642,286.0,112.0,252.0,118.0,278.0,341.0,43.0,226.0,268,7.0,1269.0,26.0,436.0,124.0,221.0,119.0,263.0,398.0,169.0,143.0,47.0
648,171.0,302.0,7.0,11.0,90.0,50.0,114.0,23.0,43,5.0,173.0,113.0,17.0,28.0,31.0,57.0,142.0,33.0,34.0,20.0,30.0
649,853.0,11.0,553.0,842.0,1477.0,489.0,9.0,409.0,451,51.0,4624.0,24.0,855.0,1012.0,913.0,243.0,18.0,552.0,208.0,142.0,102.0
65,2.0,3.0,0.0,0.0,3.0,6.0,10.0,1.0,9,0.0,6.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,4.0,5.0,4.0
651,42.0,3.0,35.0,26.0,31.0,32.0,6.0,23.0,65,3.0,158.0,5.0,35.0,99.0,19.0,21.0,11.0,79.0,48.0,22.0,20.0
652,860.0,24.0,413.0,1003.0,1233.0,613.0,78.0,373.0,462,30.0,5622.0,88.0,780.0,1002.0,751.0,183.0,56.0,377.0,212.0,178.0,399.0
653,30.0,189.0,11.0,18.0,51.0,47.0,19.0,39.0,107,2.0,74.0,62.0,22.0,16.0,19.0,29.0,9.0,50.0,46.0,25.0,29.0
657,129.0,2620.0,48.0,35.0,138.0,284.0,58.0,221.0,274,42.0,387.0,3631.0,72.0,40.0,43.0,84.0,35.0,228.0,110.0,72.0,61.0
658,21.0,110.0,7.0,7.0,16.0,65.0,4.0,14.0,15,1.0,63.0,1.0,11.0,9.0,20.0,12.0,3.0,15.0,3.0,12.0,8.0
66,0.0,40.0,19.0,1.0,1.0,68.0,872.0,138.0,87,7.0,0.0,4.0,42.0,3.0,0.0,36.0,47.0,59.0,45.0,66.0,69.0
660,186.0,38.0,57.0,182.0,222.0,214.0,11.0,116.0,281,36.0,913.0,14.0,243.0,184.0,203.0,122.0,69.0,262.0,132.0,111.0,50.0
666,125.0,9756.0,42.0,85.0,157.0,239.0,511.0,138.0,194,11.0,903.0,1756.0,120.0,108.0,106.0,100.0,67.0,134.0,61.0,46.0,75.0
667,294.0,578.0,135.0,261.0,493.0,227.0,11.0,232.0,404,18.0,1252.0,25.0,265.0,340.0,237.0,130.0,30.0,320.0,141.0,131.0,63.0
668,9.0,25.0,5.0,5.0,14.0,25.0,6.0,20.0,31,4.0,32.0,14.0,7.0,15.0,5.0,15.0,89.0,30.0,22.0,15.0,12.0
673,14849.0,1984.0,6998.0,8298.0,16969.0,15990.0,486.0,9837.0,12284,1965.0,71937.0,2013.0,14150.0,9370.0,13835.0,7411.0,342.0,16208.0,4530.0,4733.0,4258.0
674,209.0,1973.0,233.0,466.0,495.0,572.0,153.0,259.0,305,29.0,1810.0,585.0,428.0,398.0,414.0,103.0,76.0,267.0,89.0,76.0,63.0
676,169.0,25.0,44.0,154.0,250.0,178.0,102.0,110.0,284,12.0,886.0,5.0,173.0,306.0,197.0,109.0,30.0,199.0,142.0,123.0,68.0
677,1.0,2.0,0.0,0.0,1.0,11.0,5.0,4.0,25,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,8.0,6.0,8.0,8.0
683,2.0,2.0,5.0,1.0,1.0,56.0,2.0,14.0,21,3.0,3.0,0.0,7.0,1.0,0.0,16.0,0.0,25.0,21.0,8.0,23.0
685,0.0,36.0,68.0,1.0,2.0,476.0,162.0,380.0,541,31.0,6.0,25.0,70.0,0.0,2.0,229.0,463.0,349.0,183.0,169.0,147.0
689,10.0,125.0,5.0,3.0,10.0,13.0,6.0,8.0,10,2.0,11.0,84.0,9.0,5.0,1.0,5.0,2.0,6.0,6.0,24.0,12.0
690,63.0,133.0,33.0,6.0,21.0,93.0,6.0,34.0,58,6.0,94.0,289.0,41.0,13.0,20.0,30.0,18.0,30.0,16.0,18.0,22.0
692,9.0,8.0,331.0,0.0,2.0,1619.0,1292.0,1473.0,1022,46.0,25.0,4.0,695.0,10.0,0.0,638.0,719.0,1811.0,552.0,626.0,497.0
693,22.0,14.0,43.0,10.0,19.0,109.0,51.0,104.0,50,3.0,36.0,5.0,24.0,23.0,7.0,44.0,88.0,73.0,28.0,26.0,38.0
695,396.0,16.0,485.0,191.0,389.0,418.0,216.0,489.0,404,51.0,1152.0,10.0,440.0,207.0,290.0,226.0,6.0,722.0,177.0,140.0,56.0
697,3.0,5.0,5.0,3.0,1.0,31.0,14.0,37.0,59,5.0,10.0,0.0,29.0,0.0,1.0,9.0,22.0,44.0,36.0,44.0,21.0
7,6.0,5.0,5.0,6.0,2.0,71.0,5.0,36.0,134,8.0,87.0,4.0,10.0,10.0,5.0,64.0,15.0,49.0,63.0,55.0,30.0
701,0.0,148.0,86.0,0.0,0.0,546.0,241.0,270.0,412,28.0,8.0,34.0,238.0,1.0,1.0,274.0,131.0,246.0,111.0,93.0,53.0
702,31.0,21.0,492.0,3.0,3.0,1113.0,453.0,847.0,838,90.0,80.0,18.0,967.0,4.0,0.0,506.0,126.0,1235.0,271.0,230.0,353.0
703,27.0,1.0,2.0,0.0,43.0,121.0,18.0,23.0,78,4.0,212.0,4.0,5.0,17.0,5.0,20.0,4.0,23.0,11.0,13.0,6.0
705,1.0,6.0,162.0,0.0,0.0,945.0,184.0,614.0,889,61.0,20.0,0.0,216.0,0.0,0.0,448.0,144.0,1124.0,306.0,265.0,152.0
709,97.0,12.0,411.0,173.0,370.0,69.0,8.0,55.0,131,17.0,813.0,37.0,440.0,257.0,248.0,54.0,7.0,120.0,56.0,34.0,28.0
711,1.0,0.0,0.0,0.0,1.0,10.0,2.0,1.0,4,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,6.0
713,99.0,3.0,100.0,204.0,202.0,86.0,10.0,108.0,98,3.0,836.0,1.0,241.0,274.0,92.0,91.0,2.0,134.0,38.0,39.0,91.0
