strain_id,A_MTX_5-FC.ERV25_UIP4,A_MTX_Fluconazole.ERV25_UIP4,A_MTX_Metformin.ERV25_UIP4,A_MTX_Trifluoperazine.ERV25_UIP4,A_MTX_noDrug.ERV25_UIP4,A_noMTX_5-FC.ERV25_UIP4,A_noMTX_Fluconazole.ERV25_UIP4,A_noMTX_Metformin.ERV25_UIP4,A_noMTX_Trifluoperazine.ERV25_UIP4,A_noMTX_noDrug.ERV25_UIP4,B_MTX_5-FC.ERV25_UIP4,B_MTX_Fluconazole.ERV25_UIP4,B_MTX_Metformin.ERV25_UIP4,B_MTX_Trifluoperazine.ERV25_UIP4,B_MTX_noDrug.ERV25_UIP4,B_noMTX_5-FC.ERV25_UIP4,B_noMTX_Fluconazole.ERV25_UIP4,B_noMTX_Metformin.ERV25_UIP4,B_noMTX_Trifluoperazine.ERV25_UIP4,B_noMTX_noDrug.ERV25_UIP4,T0_noMTX_noDrug.ERV25_UIP4
857,6.0,18.0,180.0,11.0,4.0,8984.0,4918.0,9957.0,14092.0,3727.0,6549.0,17.0,176.0,6.0,5.0,12991.0,6730.0,6966.0,29856,14792.0,6411.0
859,174.0,73.0,60.0,123.0,312.0,28.0,133.0,18.0,40.0,10.0,65.0,21.0,79.0,176.0,44.0,25.0,741.0,17.0,93,14.0,13.0
860,48.0,59.0,70.0,200.0,21.0,129.0,44.0,148.0,250.0,103.0,89.0,6.0,76.0,64.0,53.0,210.0,111.0,189.0,560,182.0,75.0
862,131.0,17.0,192.0,408.0,54.0,66.0,14.0,65.0,89.0,18.0,160.0,4.0,192.0,161.0,101.0,60.0,29.0,53.0,227,48.0,19.0
868,2.0,1.0,11.0,4.0,0.0,14.0,176.0,19.0,23.0,1.0,5.0,1.0,4.0,6.0,0.0,16.0,5.0,5.0,53,4.0,7.0
869,533.0,4.0,1105.0,322.0,1522.0,278.0,49.0,97.0,163.0,105.0,1057.0,1.0,696.0,228.0,980.0,277.0,110.0,154.0,394,249.0,83.0
87,7.0,69.0,16.0,12.0,15.0,20.0,1.0,13.0,10.0,12.0,8.0,28.0,13.0,7.0,4.0,8.0,10.0,3.0,53,12.0,0.0
870,1.0,21.0,1.0,1.0,0.0,1.0,8.0,3.0,1.0,0.0,0.0,1.0,3.0,4.0,0.0,3.0,0.0,1.0,5,3.0,0.0
871,1.0,10.0,4.0,0.0,1.0,0.0,8.0,4.0,6.0,1.0,4.0,1.0,1.0,1.0,2.0,5.0,10.0,1.0,17,3.0,0.0
879,0.0,2.0,0.0,0.0,0.0,16.0,21.0,9.0,44.0,5.0,0.0,0.0,0.0,0.0,1.0,59.0,2.0,6.0,63,34.0,52.0
