strain_id,A_MTX_5-FC.SNA4_GTR2,A_MTX_Fluconazole.SNA4_GTR2,A_MTX_Metformin.SNA4_GTR2,A_MTX_Trifluoperazine.SNA4_GTR2,A_MTX_noDrug.SNA4_GTR2,A_noMTX_5-FC.SNA4_GTR2,A_noMTX_Fluconazole.SNA4_GTR2,A_noMTX_Metformin.SNA4_GTR2,A_noMTX_Trifluoperazine.SNA4_GTR2,A_noMTX_noDrug.SNA4_GTR2,B_MTX_5-FC.SNA4_GTR2,B_MTX_Fluconazole.SNA4_GTR2,B_MTX_Metformin.SNA4_GTR2,B_MTX_Trifluoperazine.SNA4_GTR2,B_MTX_noDrug.SNA4_GTR2,B_noMTX_5-FC.SNA4_GTR2,B_noMTX_Fluconazole.SNA4_GTR2,B_noMTX_Metformin.SNA4_GTR2,B_noMTX_Trifluoperazine.SNA4_GTR2,B_noMTX_noDrug.SNA4_GTR2,T0_noMTX_noDrug.SNA4_GTR2
270,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,1.0,4.0,0.0,1.0,3,0.0,0.0,2.0,25.0,11.0,2.0,0.0,0.0
271,0.0,1.0,13.0,1.0,1.0,15.0,11.0,56.0,43.0,216.0,0.0,0.0,16,0.0,1.0,58.0,14.0,35.0,81.0,99.0,15.0
272,1.0,0.0,2.0,2.0,0.0,43.0,1.0,19.0,24.0,106.0,0.0,0.0,4,1.0,0.0,25.0,3.0,6.0,14.0,49.0,6.0
277,1.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,0.0,1.0,9,1.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0
286,18.0,27.0,36.0,44.0,34.0,19.0,4.0,44.0,15.0,84.0,22.0,6.0,125,31.0,26.0,69.0,96.0,28.0,25.0,76.0,10.0
289,1.0,1.0,6.0,1.0,1.0,76.0,31.0,89.0,142.0,167.0,1.0,0.0,11,3.0,0.0,183.0,151.0,90.0,123.0,111.0,45.0
29,5.0,10.0,4.0,9.0,3.0,15.0,10.0,6.0,10.0,4.0,5.0,4.0,12,2.0,4.0,14.0,7.0,4.0,29.0,10.0,4.0
291,0.0,0.0,0.0,4.0,2.0,4.0,2.0,3.0,10.0,17.0,0.0,0.0,3,1.0,2.0,3.0,4.0,3.0,2.0,7.0,1.0
294,10.0,4.0,20.0,8.0,2.0,243.0,410.0,228.0,185.0,593.0,3.0,6.0,83,6.0,3.0,312.0,297.0,151.0,244.0,254.0,65.0
296,2.0,11.0,11.0,0.0,1.0,215.0,368.0,561.0,212.0,459.0,0.0,4.0,33,0.0,1.0,263.0,1059.0,463.0,238.0,725.0,75.0
299,2.0,0.0,3.0,3.0,0.0,12.0,12.0,10.0,23.0,25.0,0.0,0.0,31,0.0,3.0,6.0,2.0,5.0,15.0,10.0,3.0
