strain_id,A_MTX_5-FC.ERG11_ORM2,A_MTX_Fluconazole.ERG11_ORM2,A_MTX_Metformin.ERG11_ORM2,A_MTX_Trifluoperazine.ERG11_ORM2,A_MTX_noDrug.ERG11_ORM2,A_noMTX_5-FC.ERG11_ORM2,A_noMTX_Fluconazole.ERG11_ORM2,A_noMTX_Metformin.ERG11_ORM2,A_noMTX_Trifluoperazine.ERG11_ORM2,A_noMTX_noDrug.ERG11_ORM2,B_MTX_5-FC.ERG11_ORM2,B_MTX_Fluconazole.ERG11_ORM2,B_MTX_Metformin.ERG11_ORM2,B_MTX_Trifluoperazine.ERG11_ORM2,B_MTX_noDrug.ERG11_ORM2,B_noMTX_5-FC.ERG11_ORM2,B_noMTX_Fluconazole.ERG11_ORM2,B_noMTX_Metformin.ERG11_ORM2,B_noMTX_Trifluoperazine.ERG11_ORM2,B_noMTX_noDrug.ERG11_ORM2,T0_noMTX_noDrug.ERG11_ORM2
545,115.0,742.0,98.0,460.0,332.0,140.0,312.0,71.0,54.0,81.0,76.0,1162.0,93.0,146.0,553.0,41.0,265.0,65.0,57.0,236.0,11.0
546,4.0,147.0,48.0,11.0,10.0,395.0,119.0,281.0,204.0,612.0,0.0,10.0,46.0,1.0,20.0,471.0,18.0,78.0,308.0,339.0,24.0
557,12.0,2.0,2.0,24.0,5.0,44.0,18.0,27.0,45.0,19.0,23.0,2.0,34.0,11.0,5.0,22.0,4.0,5.0,52.0,95.0,1.0
559,1.0,6.0,10.0,54.0,3.0,6.0,5.0,6.0,20.0,8.0,2.0,3.0,6.0,2.0,11.0,10.0,16.0,6.0,10.0,38.0,3.0
564,9.0,1076.0,22.0,74.0,17.0,303.0,29.0,179.0,109.0,100.0,29.0,34.0,23.0,25.0,9.0,150.0,11.0,51.0,116.0,256.0,15.0
567,80.0,641.0,209.0,273.0,154.0,399.0,12.0,292.0,102.0,557.0,80.0,18.0,114.0,77.0,447.0,391.0,9.0,108.0,244.0,446.0,20.0
57,1.0,0.0,1.0,14.0,1.0,10.0,4.0,7.0,31.0,7.0,1.0,0.0,0.0,0.0,8.0,6.0,2.0,4.0,7.0,25.0,4.0
571,19.0,82.0,9.0,51.0,46.0,15.0,44.0,38.0,14.0,14.0,12.0,0.0,65.0,31.0,169.0,27.0,20.0,16.0,19.0,58.0,1.0
574,0.0,0.0,12.0,4.0,0.0,34.0,6.0,10.0,4.0,6.0,0.0,0.0,14.0,1.0,3.0,35.0,9.0,1.0,56.0,16.0,0.0
576,2.0,14.0,5.0,11.0,0.0,10.0,2.0,0.0,6.0,16.0,1.0,101.0,11.0,0.0,1.0,16.0,10.0,5.0,13.0,9.0,5.0
578,137.0,1086.0,199.0,510.0,544.0,181.0,12146.0,310.0,247.0,540.0,275.0,804.0,472.0,398.0,1268.0,275.0,103.0,111.0,374.0,794.0,56.0
58,2.0,1.0,0.0,51.0,6.0,2.0,2.0,2.0,3.0,2.0,2.0,0.0,4.0,1.0,32.0,2.0,3.0,1.0,2.0,24.0,4.0
581,3.0,8.0,70.0,8.0,3.0,374.0,6.0,106.0,76.0,116.0,2.0,22.0,69.0,1.0,1.0,336.0,23.0,38.0,58.0,168.0,6.0
586,12.0,21.0,19.0,21.0,9.0,43.0,705.0,34.0,33.0,24.0,12.0,10.0,25.0,13.0,28.0,27.0,18.0,28.0,27.0,164.0,8.0
588,7.0,2.0,10.0,13.0,4.0,10.0,6.0,7.0,12.0,3.0,4.0,2.0,12.0,6.0,5.0,16.0,2.0,4.0,7.0,89.0,0.0
589,24.0,189.0,118.0,55.0,9.0,302.0,14182.0,360.0,266.0,555.0,23.0,215.0,140.0,13.0,18.0,289.0,433.0,310.0,248.0,751.0,23.0
590,7.0,64.0,33.0,85.0,9.0,162.0,1387.0,308.0,137.0,211.0,5.0,0.0,25.0,4.0,33.0,117.0,150.0,169.0,284.0,467.0,2.0
