strain_id,A_MTX_5-FC.HNM1_RBD2,A_MTX_Fluconazole.HNM1_RBD2,A_MTX_Metformin.HNM1_RBD2,A_MTX_Trifluoperazine.HNM1_RBD2,A_MTX_noDrug.HNM1_RBD2,A_noMTX_5-FC.HNM1_RBD2,A_noMTX_Fluconazole.HNM1_RBD2,A_noMTX_Metformin.HNM1_RBD2,A_noMTX_Trifluoperazine.HNM1_RBD2,A_noMTX_noDrug.HNM1_RBD2,B_MTX_5-FC.HNM1_RBD2,B_MTX_Fluconazole.HNM1_RBD2,B_MTX_Metformin.HNM1_RBD2,B_MTX_Trifluoperazine.HNM1_RBD2,B_MTX_noDrug.HNM1_RBD2,B_noMTX_5-FC.HNM1_RBD2,B_noMTX_Fluconazole.HNM1_RBD2,B_noMTX_Metformin.HNM1_RBD2,B_noMTX_Trifluoperazine.HNM1_RBD2,B_noMTX_noDrug.HNM1_RBD2,T0_noMTX_noDrug.HNM1_RBD2
406,1.0,0.0,1.0,1.0,0.0,9.0,17.0,16.0,8.0,10.0,5.0,0.0,6.0,0.0,0.0,24.0,9.0,52.0,19.0,8.0,16.0
408,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,8.0,2.0,6.0,1.0
409,34766.0,20.0,1304.0,1419.0,42.0,2030.0,26106.0,596.0,2194.0,750.0,60305.0,10.0,1973.0,2465.0,127.0,13028.0,48665.0,2533.0,4020.0,486.0,219.0
40_2,2.0,0.0,1.0,43.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,6.0,2.0,7.0,0.0,1.0,3.0,7.0,1.0,0.0,1.0
412,1491.0,0.0,1346.0,250.0,0.0,615.0,1512.0,359.0,552.0,278.0,3194.0,113.0,1442.0,386.0,17.0,3670.0,755.0,1256.0,940.0,196.0,81.0
418,7.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,13.0,2.0,7.0,0.0,2.0,0.0,1.0,9.0,9.0,10.0,5.0,1.0,0.0
419,2.0,0.0,0.0,4.0,3.0,10.0,11.0,7.0,3.0,0.0,3.0,2.0,8.0,2.0,0.0,15.0,6.0,16.0,3.0,3.0,2.0
420,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,5.0,13.0,17.0,8.0,4.0,0.0
421,493.0,7.0,708.0,4569.0,4.0,547.0,1348.0,238.0,201.0,113.0,231.0,0.0,448.0,1470.0,30.0,1244.0,12.0,2546.0,371.0,153.0,31.0
426,3.0,5.0,3.0,69.0,2.0,5.0,7.0,4.0,6.0,4.0,4.0,0.0,7.0,2.0,0.0,22.0,1.0,23.0,7.0,6.0,2.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
431,0.0,0.0,1.0,5.0,0.0,5.0,5.0,4.0,5.0,7.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,8.0,8.0,4.0,2.0
433,9.0,1.0,3.0,16.0,1.0,60.0,34.0,48.0,70.0,15.0,6.0,0.0,11.0,4.0,5.0,361.0,3.0,330.0,59.0,12.0,65.0
434,5.0,0.0,1.0,9.0,6.0,9.0,2.0,8.0,6.0,6.0,4.0,1.0,21.0,2.0,1.0,7.0,2.0,15.0,9.0,12.0,0.0
437,88.0,1.0,17.0,162.0,6.0,12.0,16.0,6.0,53.0,3.0,57.0,4.0,25.0,25.0,11.0,32.0,20.0,63.0,11.0,4.0,6.0
438,6.0,0.0,3.0,6.0,0.0,330.0,1476.0,97.0,165.0,38.0,3.0,1.0,3.0,0.0,1.0,1512.0,1435.0,527.0,163.0,21.0,177.0
439,2.0,28.0,1.0,0.0,0.0,8.0,34.0,7.0,7.0,7.0,3.0,3.0,0.0,0.0,0.0,15.0,21.0,17.0,12.0,2.0,2.0
43_ref1,7.0,0.0,1.0,4.0,0.0,3.0,1275.0,7.0,41.0,4.0,5.0,0.0,0.0,2.0,0.0,22.0,2328.0,97.0,85.0,3.0,492.0
43_ref2,8.0,4.0,3.0,9.0,3.0,617.0,468.0,278.0,898.0,291.0,8.0,0.0,6.0,1.0,0.0,949.0,583.0,1757.0,869.0,276.0,688.0
442,11.0,6.0,5.0,38.0,6.0,9.0,8.0,4.0,27.0,1.0,14.0,0.0,9.0,13.0,4.0,21.0,4.0,63.0,10.0,7.0,1.0
444,0.0,1.0,0.0,3.0,1.0,2.0,0.0,2.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,1.0,10.0,1.0,0.0,0.0
446,0.0,0.0,1.0,20.0,0.0,4.0,5.0,7.0,7.0,6.0,0.0,2.0,1.0,0.0,0.0,13.0,3.0,8.0,6.0,6.0,1.0
45,1.0,0.0,3.0,5.0,1.0,11.0,7.0,9.0,23.0,0.0,2.0,3.0,4.0,1.0,0.0,16.0,7.0,59.0,10.0,7.0,1.0
450,1.0,6.0,0.0,9.0,0.0,5.0,5.0,6.0,1.0,5.0,0.0,1.0,2.0,0.0,0.0,8.0,2.0,8.0,5.0,2.0,3.0
452,0.0,2.0,0.0,12.0,3.0,0.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,6.0,6.0,2.0,5.0
458,2.0,1.0,0.0,1.0,0.0,4.0,4.0,13.0,11.0,13.0,3.0,0.0,0.0,1.0,0.0,23.0,4.0,21.0,17.0,7.0,7.0
459,1836.0,2.0,31.0,3.0,0.0,4.0,3.0,5.0,14.0,5.0,7600.0,4.0,5.0,423.0,1743.0,16.0,8.0,27.0,8.0,4.0,4.0
460,415.0,685.0,1763.0,6637.0,3.0,3776.0,554.0,1543.0,1017.0,515.0,672.0,987.0,2389.0,2575.0,4969.0,6928.0,2679.0,7699.0,1045.0,466.0,228.0
466,28.0,1.0,2.0,29.0,1.0,8.0,7.0,9.0,23.0,3.0,19.0,1.0,6.0,2.0,1.0,39.0,10.0,25.0,11.0,6.0,1.0
468,54.0,49.0,17.0,134.0,50.0,31.0,9.0,24.0,19.0,26.0,90.0,0.0,49.0,46.0,25.0,49.0,15.0,40.0,32.0,27.0,12.0
470,58.0,110.0,12.0,27.0,33.0,10.0,22.0,29.0,11.0,10.0,48.0,28.0,21.0,8.0,3.0,32.0,24.0,32.0,37.0,14.0,4.0
473,10.0,3.0,4.0,15.0,2.0,237.0,28.0,239.0,215.0,145.0,11.0,0.0,4.0,3.0,1.0,1054.0,8.0,756.0,402.0,122.0,93.0
475,20.0,7.0,69.0,22.0,4.0,2712.0,213.0,2658.0,1894.0,1005.0,17.0,2.0,80.0,9.0,2.0,5867.0,1448.0,16967.0,2121.0,529.0,675.0
476,4.0,18.0,15.0,30.0,3.0,3265.0,432.0,2640.0,3192.0,1198.0,1.0,0.0,38.0,0.0,1.0,12232.0,116.0,15596.0,4047.0,776.0,1149.0
48,3.0,3.0,1.0,14.0,11.0,5.0,8.0,1.0,7.0,1.0,2.0,3.0,5.0,2.0,0.0,5.0,12.0,26.0,4.0,3.0,5.0
