strain_id,A_MTX_5-FC.ERV25_EMP47,A_MTX_Fluconazole.ERV25_EMP47,A_MTX_Metformin.ERV25_EMP47,A_MTX_Trifluoperazine.ERV25_EMP47,A_MTX_noDrug.ERV25_EMP47,A_noMTX_5-FC.ERV25_EMP47,A_noMTX_Fluconazole.ERV25_EMP47,A_noMTX_Metformin.ERV25_EMP47,A_noMTX_Trifluoperazine.ERV25_EMP47,A_noMTX_noDrug.ERV25_EMP47,B_MTX_5-FC.ERV25_EMP47,B_MTX_Fluconazole.ERV25_EMP47,B_MTX_Metformin.ERV25_EMP47,B_MTX_Trifluoperazine.ERV25_EMP47,B_MTX_noDrug.ERV25_EMP47,B_noMTX_5-FC.ERV25_EMP47,B_noMTX_Fluconazole.ERV25_EMP47,B_noMTX_Metformin.ERV25_EMP47,B_noMTX_Trifluoperazine.ERV25_EMP47,B_noMTX_noDrug.ERV25_EMP47,T0_noMTX_noDrug.ERV25_EMP47
800,6.0,1.0,1.0,1.0,1.0,3.0,6.0,6.0,11.0,30.0,2.0,1.0,4.0,1.0,4.0,52,12.0,1.0,3.0,8.0,2.0
801,9.0,90.0,3.0,7.0,3.0,6.0,8.0,15.0,11.0,39.0,3.0,55.0,5.0,5.0,6.0,51,12.0,4.0,9.0,1.0,5.0
803,2.0,0.0,6.0,2.0,1.0,36.0,45.0,320.0,237.0,412.0,0.0,0.0,6.0,1.0,2.0,749,17.0,241.0,88.0,44.0,33.0
804,700.0,2880.0,331.0,756.0,858.0,34.0,13.0,34.0,92.0,552.0,750.0,2018.0,863.0,801.0,186.0,1193,53.0,23.0,20.0,57.0,20.0
805,42.0,96.0,11.0,9.0,29.0,21.0,33.0,10.0,33.0,118.0,21.0,46.0,25.0,25.0,56.0,532,13.0,8.0,7.0,29.0,20.0
807,1.0,1.0,3.0,0.0,0.0,20.0,12.0,20.0,76.0,340.0,0.0,0.0,0.0,1.0,1.0,651,15.0,13.0,7.0,13.0,15.0
808,30.0,20.0,26.0,65.0,22.0,33.0,14.0,45.0,61.0,191.0,16.0,5.0,44.0,21.0,64.0,549,10.0,17.0,27.0,56.0,24.0
809,840.0,33.0,497.0,1334.0,477.0,235.0,19.0,380.0,282.0,1324.0,1265.0,4.0,1489.0,1288.0,491.0,3173,170.0,124.0,50.0,248.0,136.0
81,17.0,77.0,1.0,7.0,1.0,2.0,3.0,7.0,15.0,11.0,2.0,2.0,8.0,3.0,15.0,34,5.0,5.0,3.0,4.0,6.0
811,27.0,5.0,19.0,47.0,11.0,12.0,77.0,37.0,89.0,158.0,6.0,7.0,42.0,53.0,19.0,308,25.0,20.0,24.0,15.0,8.0
812,4.0,13.0,2.0,6.0,3.0,119.0,20.0,190.0,91.0,381.0,6.0,10.0,6.0,4.0,2.0,1123,11.0,54.0,40.0,89.0,53.0
813,66.0,92.0,89.0,344.0,72.0,96.0,285.0,212.0,268.0,659.0,35.0,68.0,155.0,100.0,127.0,1273,96.0,79.0,98.0,82.0,33.0
819,8.0,6.0,22.0,79.0,2.0,304.0,127.0,831.0,1970.0,1997.0,7.0,7.0,39.0,13.0,6.0,4508,88.0,771.0,282.0,227.0,121.0
821,2.0,9.0,19.0,2.0,1.0,72.0,280.0,67.0,64.0,191.0,1.0,1.0,5.0,1.0,1.0,386,493.0,33.0,18.0,53.0,40.0
823,44.0,9.0,48.0,217.0,33.0,195.0,350.0,565.0,547.0,2853.0,24.0,6.0,64.0,51.0,59.0,3228,922.0,378.0,114.0,253.0,169.0
830,3.0,6.0,3.0,2.0,1.0,3.0,3.0,12.0,12.0,49.0,1.0,1.0,3.0,1.0,2.0,162,8.0,5.0,5.0,5.0,6.0
833,55.0,10.0,30.0,91.0,45.0,22.0,16.0,28.0,114.0,222.0,12.0,11.0,43.0,45.0,119.0,480,16.0,29.0,30.0,24.0,11.0
835,21.0,21.0,15.0,14.0,6.0,11.0,3.0,25.0,106.0,349.0,5.0,9.0,34.0,17.0,9.0,1139,7.0,13.0,15.0,30.0,59.0
837,109.0,18.0,107.0,710.0,65.0,66.0,25.0,124.0,89.0,320.0,197.0,6.0,198.0,305.0,265.0,856,82.0,41.0,36.0,67.0,31.0
838,10642.0,2255.0,14155.0,118270.0,15655.0,1698.0,1543.0,5009.0,9219.0,7864.0,7676.0,5886.0,55611.0,91455.0,15468.0,21688,2939.0,3786.0,1803.0,1635.0,908.0
839,33.0,6.0,54.0,701.0,14.0,78.0,15.0,285.0,572.0,1018.0,18.0,2.0,89.0,58.0,42.0,1899,15.0,292.0,93.0,75.0,35.0
841,459.0,7424.0,244.0,828.0,202.0,30.0,47.0,37.0,145.0,236.0,1177.0,36573.0,794.0,666.0,241.0,642,24.0,19.0,44.0,54.0,171.0
842,214.0,1261.0,576.0,3102.0,529.0,240.0,50.0,195.0,266.0,1049.0,195.0,52417.0,5902.0,3324.0,1136.0,2503,265.0,61.0,82.0,161.0,87.0
843,38.0,63.0,72.0,42.0,12.0,2259.0,720.0,1548.0,1028.0,7880.0,25.0,55.0,135.0,28.0,37.0,31881,1121.0,366.0,480.0,2725.0,1538.0
848,7.0,16.0,11.0,10.0,3.0,3.0,22.0,15.0,11.0,24.0,3.0,10.0,5.0,6.0,18.0,58,18.0,2.0,2.0,4.0,3.0
850,8346.0,14.0,80.0,4628.0,4776.0,111.0,859.0,399.0,382.0,416.0,4093.0,14.0,106.0,1342.0,756.0,1066,1888.0,124.0,227.0,114.0,44.0
853,146.0,89.0,110.0,145.0,58.0,82.0,66.0,192.0,96.0,64.0,90.0,81.0,111.0,466.0,201.0,356,64.0,35.0,73.0,53.0,38.0
854,1.0,16.0,2.0,4.0,1.0,4.0,37.0,7.0,32.0,71.0,1.0,27.0,4.0,2.0,1.0,150,990.0,8.0,8.0,6.0,1.0
857,19.0,18.0,97.0,9.0,5.0,2241.0,470.0,4051.0,8868.0,37865.0,9.0,32.0,118.0,12.0,16.0,88799,1733.0,1857.0,1056.0,4994.0,3227.0
859,146.0,40.0,169.0,670.0,373.0,42.0,13.0,61.0,107.0,334.0,203.0,26.0,459.0,504.0,215.0,389,10.0,38.0,19.0,44.0,21.0
860,115.0,32.0,63.0,408.0,51.0,94.0,41.0,216.0,231.0,558.0,39.0,29.0,87.0,84.0,136.0,1582,59.0,71.0,72.0,105.0,66.0
862,246.0,25.0,204.0,380.0,91.0,56.0,19.0,122.0,123.0,125.0,86.0,10.0,223.0,130.0,351.0,411,21.0,55.0,80.0,40.0,12.0
868,2.0,1.0,7.0,38.0,6.0,6.0,66.0,12.0,15.0,46.0,1.0,5.0,12.0,31.0,12.0,69,5.0,2.0,4.0,5.0,2.0
869,638.0,388.0,544.0,3976.0,1883.0,127.0,96.0,303.0,204.0,632.0,1631.0,105.0,1631.0,2258.0,1558.0,1158,406.0,114.0,39.0,103.0,54.0
87,5.0,29.0,4.0,32.0,7.0,7.0,2.0,13.0,26.0,22.0,3.0,2.0,6.0,8.0,5.0,52,1.0,2.0,2.0,3.0,5.0
870,3.0,15.0,1.0,3.0,2.0,1.0,3.0,0.0,10.0,7.0,0.0,1.0,3.0,1.0,4.0,20,2.0,0.0,8.0,2.0,0.0
871,3.0,4.0,1.0,3.0,1.0,3.0,1.0,4.0,12.0,20.0,0.0,3.0,1.0,7.0,2.0,65,3.0,5.0,2.0,1.0,2.0
879,2.0,0.0,1.0,7.0,0.0,5.0,10.0,4.0,9.0,10.0,0.0,0.0,3.0,1.0,0.0,72,3.0,2.0,3.0,6.0,4.0
880,2.0,14.0,2.0,6.0,1.0,2.0,11.0,4.0,15.0,29.0,0.0,0.0,1.0,1.0,6.0,109,1.0,1.0,4.0,2.0,7.0
882,1.0,39.0,3.0,9.0,2.0,5.0,0.0,10.0,16.0,70.0,0.0,0.0,2.0,4.0,6.0,102,4.0,1.0,3.0,9.0,3.0
887,0.0,4.0,4.0,7.0,2.0,6.0,74.0,21.0,10.0,42.0,2.0,0.0,6.0,1.0,2.0,87,0.0,8.0,14.0,14.0,5.0
888,40.0,42.0,162.0,308.0,14.0,33.0,66.0,138.0,221.0,194.0,75.0,2.0,313.0,178.0,63.0,377,51.0,64.0,43.0,30.0,25.0
89,1979.0,8052.0,219.0,12286.0,5385.0,687.0,272.0,433.0,141.0,2053.0,2715.0,18915.0,956.0,9019.0,6214.0,7577,197.0,100.0,57.0,591.0,218.0
892,1.0,1.0,4.0,8.0,2.0,32.0,103.0,122.0,55.0,509.0,0.0,0.0,3.0,1.0,1.0,1068,516.0,20.0,13.0,64.0,23.0
