strain_id,A_MTX_5-FC.ALO1_HYR1,A_MTX_Fluconazole.ALO1_HYR1,A_MTX_Metformin.ALO1_HYR1,A_MTX_Trifluoperazine.ALO1_HYR1,A_MTX_noDrug.ALO1_HYR1,A_noMTX_5-FC.ALO1_HYR1,A_noMTX_Fluconazole.ALO1_HYR1,A_noMTX_Metformin.ALO1_HYR1,A_noMTX_Trifluoperazine.ALO1_HYR1,A_noMTX_noDrug.ALO1_HYR1,B_MTX_5-FC.ALO1_HYR1,B_MTX_Fluconazole.ALO1_HYR1,B_MTX_Metformin.ALO1_HYR1,B_MTX_Trifluoperazine.ALO1_HYR1,B_MTX_noDrug.ALO1_HYR1,B_noMTX_5-FC.ALO1_HYR1,B_noMTX_Fluconazole.ALO1_HYR1,B_noMTX_Metformin.ALO1_HYR1,B_noMTX_Trifluoperazine.ALO1_HYR1,B_noMTX_noDrug.ALO1_HYR1,T0_noMTX_noDrug.ALO1_HYR1
715,0.0,0.0,1.0,0.0,1.0,6.0,2.0,11.0,44.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,3.0,5.0,68,7.0,5.0
717,334.0,14.0,731.0,464.0,413.0,458.0,707.0,125.0,522.0,33.0,984.0,0.0,1363.0,328.0,387.0,86.0,458.0,177.0,1065,365.0,114.0
721,2.0,1.0,36.0,37.0,7.0,638.0,685.0,462.0,476.0,55.0,23.0,0.0,19.0,26.0,15.0,128.0,586.0,829.0,1014,511.0,137.0
724,8.0,6.0,37.0,112.0,7.0,262.0,28.0,265.0,443.0,66.0,12.0,0.0,27.0,18.0,7.0,102.0,18.0,574.0,771,374.0,16.0
727,403.0,15.0,8709.0,1300.0,754.0,390.0,26.0,636.0,448.0,138.0,1862.0,33.0,5704.0,1697.0,1889.0,269.0,35.0,1299.0,906,448.0,50.0
729,57.0,102.0,312.0,93.0,85.0,77.0,37.0,92.0,76.0,11.0,258.0,466.0,279.0,125.0,523.0,76.0,42.0,82.0,136,63.0,28.0
731,23.0,1.0,502.0,34.0,31.0,5416.0,3359.0,3293.0,5343.0,878.0,267.0,0.0,292.0,143.0,2.0,1779.0,5917.0,8671.0,8744,6246.0,1207.0
732,2.0,2.0,47.0,5.0,0.0,531.0,74.0,250.0,458.0,94.0,8.0,1.0,35.0,5.0,3.0,146.0,10.0,926.0,738,600.0,84.0
734,10.0,4.0,16.0,9.0,46.0,15.0,36.0,22.0,38.0,7.0,48.0,3.0,16.0,19.0,29.0,16.0,16.0,16.0,62,17.0,5.0
735,0.0,1.0,5.0,1.0,2.0,19.0,7.0,22.0,72.0,5.0,1.0,0.0,2.0,1.0,1.0,14.0,18.0,17.0,133,23.0,10.0
