strain_id,A_MTX_5-FC.ERG11_MID2,A_MTX_Fluconazole.ERG11_MID2,A_MTX_Metformin.ERG11_MID2,A_MTX_Trifluoperazine.ERG11_MID2,A_MTX_noDrug.ERG11_MID2,A_noMTX_5-FC.ERG11_MID2,A_noMTX_Fluconazole.ERG11_MID2,A_noMTX_Metformin.ERG11_MID2,A_noMTX_Trifluoperazine.ERG11_MID2,A_noMTX_noDrug.ERG11_MID2,B_MTX_5-FC.ERG11_MID2,B_MTX_Fluconazole.ERG11_MID2,B_MTX_Metformin.ERG11_MID2,B_MTX_Trifluoperazine.ERG11_MID2,B_MTX_noDrug.ERG11_MID2,B_noMTX_5-FC.ERG11_MID2,B_noMTX_Fluconazole.ERG11_MID2,B_noMTX_Metformin.ERG11_MID2,B_noMTX_Trifluoperazine.ERG11_MID2,B_noMTX_noDrug.ERG11_MID2,T0_noMTX_noDrug.ERG11_MID2
715,0.0,15.0,3.0,1.0,0.0,6.0,2.0,27.0,8.0,5.0,0.0,0.0,4.0,0.0,0.0,11.0,0.0,23.0,8.0,13.0,4.0
717,395.0,85.0,244.0,745.0,1392.0,385.0,63.0,209.0,267.0,99.0,509.0,68.0,173.0,496.0,234.0,359.0,11.0,172.0,211.0,212.0,98.0
721,14.0,759.0,29.0,9.0,27.0,84.0,20.0,86.0,135.0,47.0,16.0,366.0,12.0,12.0,2.0,35.0,54.0,51.0,60.0,84.0,24.0
724,5.0,63.0,7.0,13.0,22.0,32.0,6.0,33.0,48.0,48.0,14.0,0.0,12.0,17.0,3.0,77.0,2.0,40.0,25.0,36.0,8.0
727,832.0,27.0,919.0,543.0,4300.0,569.0,4.0,810.0,860.0,367.0,1923.0,15.0,1558.0,511.0,547.0,429.0,13.0,1102.0,470.0,904.0,184.0
729,1265.0,910.0,841.0,1030.0,5062.0,2047.0,485.0,1109.0,1210.0,561.0,2695.0,1611.0,1295.0,772.0,699.0,1179.0,365.0,1418.0,842.0,1586.0,303.0
731,1135.0,3195.0,4508.0,411.0,745.0,5327.0,91.0,5294.0,5869.0,2510.0,1526.0,364.0,4892.0,302.0,68.0,2845.0,37919.0,7961.0,5949.0,8806.0,1796.0
732,16.0,24.0,112.0,6.0,28.0,298.0,23.0,140.0,291.0,189.0,12.0,1.0,170.0,0.0,2.0,198.0,35.0,226.0,321.0,345.0,24.0
734,1441.0,592.0,292.0,950.0,3776.0,597.0,9.0,526.0,1113.0,350.0,2950.0,1780.0,235.0,602.0,496.0,385.0,37.0,1071.0,539.0,602.0,141.0
735,6.0,64.0,82.0,8.0,7.0,72.0,3.0,278.0,118.0,73.0,19.0,2.0,52.0,3.0,0.0,66.0,72.0,96.0,45.0,79.0,23.0
738,118.0,2425.0,45.0,44.0,131.0,152.0,56.0,273.0,121.0,86.0,66.0,1496.0,36.0,33.0,34.0,112.0,11.0,223.0,205.0,152.0,46.0
