strain_id,A_MTX_5-FC.ERG11_ERG5,A_MTX_Fluconazole.ERG11_ERG5,A_MTX_Metformin.ERG11_ERG5,A_MTX_Trifluoperazine.ERG11_ERG5,A_MTX_noDrug.ERG11_ERG5,A_noMTX_5-FC.ERG11_ERG5,A_noMTX_Fluconazole.ERG11_ERG5,A_noMTX_Metformin.ERG11_ERG5,A_noMTX_Trifluoperazine.ERG11_ERG5,A_noMTX_noDrug.ERG11_ERG5,B_MTX_5-FC.ERG11_ERG5,B_MTX_Fluconazole.ERG11_ERG5,B_MTX_Metformin.ERG11_ERG5,B_MTX_Trifluoperazine.ERG11_ERG5,B_MTX_noDrug.ERG11_ERG5,B_noMTX_5-FC.ERG11_ERG5,B_noMTX_Fluconazole.ERG11_ERG5,B_noMTX_Metformin.ERG11_ERG5,B_noMTX_Trifluoperazine.ERG11_ERG5,B_noMTX_noDrug.ERG11_ERG5,T0_noMTX_noDrug.ERG11_ERG5
48,16.0,16.0,22.0,37.0,9.0,8.0,7.0,4.0,15.0,57.0,4.0,2.0,9.0,7.0,2.0,23.0,17.0,8.0,36.0,11.0,3.0
485,22.0,9.0,32.0,12.0,40.0,65.0,5.0,46.0,6.0,27.0,37.0,0.0,2.0,13.0,7.0,124.0,1.0,31.0,13.0,32.0,17.0
486,15.0,23.0,18.0,93.0,20.0,23.0,15.0,60.0,8.0,26.0,12.0,151.0,41.0,33.0,6.0,3.0,4.0,11.0,20.0,16.0,3.0
491,84.0,151.0,64.0,279.0,249.0,45.0,2.0,103.0,66.0,107.0,68.0,1.0,238.0,213.0,40.0,69.0,8.0,56.0,51.0,85.0,51.0
493,101.0,515.0,82.0,131.0,108.0,41.0,661.0,49.0,48.0,63.0,44.0,5.0,111.0,57.0,29.0,69.0,12.0,32.0,62.0,45.0,34.0
495,94.0,571.0,197.0,513.0,138.0,600.0,219.0,251.0,201.0,788.0,115.0,2.0,281.0,129.0,24.0,592.0,98.0,231.0,335.0,515.0,54.0
50,44.0,27.0,10.0,53.0,18.0,6.0,5.0,272.0,82.0,202.0,66.0,7.0,7.0,9.0,247.0,7.0,10.0,4.0,15.0,113.0,45.0
503,17.0,298.0,23.0,22.0,7.0,116.0,46.0,159.0,65.0,96.0,5.0,25.0,20.0,9.0,3.0,94.0,204.0,90.0,66.0,82.0,26.0
507,6.0,5.0,17.0,3.0,1.0,75.0,4.0,14.0,40.0,52.0,9.0,1.0,13.0,0.0,0.0,34.0,26.0,14.0,21.0,4.0,16.0
508,128.0,629.0,294.0,292.0,215.0,371.0,176.0,322.0,94.0,432.0,119.0,4.0,390.0,241.0,15.0,434.0,10.0,136.0,295.0,333.0,113.0
