strain_id,A_MTX_5-FC.ERG11_TPO4,A_MTX_Fluconazole.ERG11_TPO4,A_MTX_Metformin.ERG11_TPO4,A_MTX_Trifluoperazine.ERG11_TPO4,A_MTX_noDrug.ERG11_TPO4,A_noMTX_5-FC.ERG11_TPO4,A_noMTX_Fluconazole.ERG11_TPO4,A_noMTX_Metformin.ERG11_TPO4,A_noMTX_Trifluoperazine.ERG11_TPO4,A_noMTX_noDrug.ERG11_TPO4,B_MTX_5-FC.ERG11_TPO4,B_MTX_Fluconazole.ERG11_TPO4,B_MTX_Metformin.ERG11_TPO4,B_MTX_Trifluoperazine.ERG11_TPO4,B_MTX_noDrug.ERG11_TPO4,B_noMTX_5-FC.ERG11_TPO4,B_noMTX_Fluconazole.ERG11_TPO4,B_noMTX_Metformin.ERG11_TPO4,B_noMTX_Trifluoperazine.ERG11_TPO4,B_noMTX_noDrug.ERG11_TPO4,T0_noMTX_noDrug.ERG11_TPO4
599_ref1,9.0,0.0,6.0,7.0,2.0,81.0,222.0,28.0,34.0,21.0,25.0,1.0,2.0,3.0,20.0,206.0,16.0,13.0,19.0,31.0,647.0
599_ref2,2.0,1.0,0.0,7.0,1.0,84.0,6.0,23.0,25.0,8.0,12.0,0.0,2.0,1.0,37.0,153.0,17.0,5.0,15.0,24.0,507.0
6,2.0,2.0,11.0,20.0,4.0,51.0,22.0,168.0,123.0,224.0,3.0,0.0,6.0,2.0,16.0,57.0,4.0,61.0,65.0,83.0,12.0
60,5371.0,12.0,1859.0,2966.0,2495.0,284.0,3792.0,338.0,1553.0,548.0,1854.0,2.0,982.0,1200.0,6752.0,1203.0,58.0,807.0,1432.0,556.0,96.0
61,2.0,1.0,2.0,12.0,4.0,1.0,3.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,24.0,6.0,1.0,1.0,1.0,1.0,0.0
611,2.0,40.0,500.0,13.0,2.0,114.0,1.0,62.0,103.0,52.0,5.0,43.0,44.0,3.0,42.0,76.0,20.0,45.0,85.0,146.0,44.0
616,613.0,10.0,1387.0,531.0,1292.0,239.0,9.0,267.0,406.0,290.0,217.0,3.0,404.0,237.0,1855.0,260.0,7.0,167.0,205.0,317.0,71.0
619,12.0,8.0,12.0,67.0,5.0,16.0,5.0,13.0,30.0,7.0,9.0,0.0,3.0,1.0,144.0,13.0,2.0,5.0,5.0,11.0,3.0
622,8.0,18.0,37.0,75.0,13.0,236.0,9.0,101.0,109.0,56.0,20.0,1.0,8.0,4.0,211.0,106.0,5.0,28.0,23.0,36.0,8.0
627,200.0,1.0,466.0,86.0,334.0,93.0,182.0,191.0,110.0,85.0,77.0,0.0,70.0,36.0,589.0,71.0,22.0,63.0,52.0,130.0,18.0
631,1024.0,1.0,3179.0,571.0,1311.0,910.0,848.0,1322.0,915.0,631.0,490.0,0.0,1200.0,307.0,3417.0,1058.0,21.0,536.0,671.0,1847.0,68.0
632,60.0,38.0,204.0,241.0,111.0,49.0,25.0,100.0,449.0,98.0,41.0,6.0,106.0,60.0,1472.0,146.0,17.0,118.0,92.0,247.0,14.0
636,31.0,42.0,705.0,20.0,10.0,1151.0,111.0,488.0,1966.0,772.0,11.0,0.0,403.0,5.0,131.0,1561.0,6.0,737.0,926.0,619.0,133.0
638,197.0,220.0,433.0,127.0,269.0,407.0,38.0,219.0,163.0,116.0,89.0,82.0,70.0,21.0,864.0,277.0,2.0,144.0,102.0,197.0,67.0
639,53.0,17.0,38.0,234.0,78.0,27.0,128.0,12.0,96.0,10.0,54.0,1.0,20.0,32.0,1009.0,18.0,4.0,19.0,20.0,18.0,11.0
64,85.0,12.0,86.0,188.0,263.0,43.0,17.0,44.0,125.0,38.0,54.0,4.0,7.0,42.0,733.0,35.0,18.0,21.0,47.0,70.0,12.0
640,72.0,2.0,121.0,72.0,226.0,37.0,314.0,44.0,131.0,118.0,49.0,0.0,17.0,27.0,324.0,113.0,11.0,55.0,75.0,79.0,18.0
