strain_id,B_noMTX_Fluconazole.ERV25_EMP47,B_noMTX_Fluconazole.ERG11_ACF2,B_noMTX_Fluconazole.HNM1_ERG11,B_noMTX_Fluconazole.SSH1_ERG11,B_noMTX_Fluconazole.HUG1_ALO1,B_noMTX_Fluconazole.ADE17_PGM2,B_noMTX_Fluconazole.ALO1_HYR1,B_noMTX_Fluconazole.DHH1_LSM3,B_noMTX_Fluconazole.noPPI_reference,B_noMTX_Fluconazole.MID2_PIN2,B_noMTX_Fluconazole.PLM2_HNM1,B_noMTX_Fluconazole.HNM1_TPO1,B_noMTX_Fluconazole.RET2_EMP47,B_noMTX_Fluconazole.SSH1_ORM2,B_noMTX_Fluconazole.MID2_MAM33,B_noMTX_Fluconazole.ERG11_ERV25,B_noMTX_Fluconazole.RET2_SNA3,B_noMTX_Fluconazole.SSH1_PIS1,B_noMTX_Fluconazole.ERG11_HYR1,B_noMTX_Fluconazole.SRO9_DHH1,B_noMTX_Fluconazole.SSH1_ERV25,B_noMTX_Fluconazole.ADE17_GIS2,B_noMTX_Fluconazole.FMP45_MID2,B_noMTX_Fluconazole.ERV25_UIP4,B_noMTX_Fluconazole.ERG27_ACF2,B_noMTX_Fluconazole.MID2_WSC2,B_noMTX_Fluconazole.SRO9_SGN1,B_noMTX_Fluconazole.GTR1_SLM4,B_noMTX_Fluconazole.HUG1_ADE17,B_noMTX_Fluconazole.SRO9_GIS2,B_noMTX_Fluconazole.SNA4_GTR2,B_noMTX_Fluconazole.PMC1_CTR2,B_noMTX_Fluconazole.MID2_RSN1,B_noMTX_Fluconazole.ALO1_UIP4,B_noMTX_Fluconazole.PLM2_SNA3,B_noMTX_Fluconazole.HNM1_TPO2,B_noMTX_Fluconazole.ERG11_MID2,B_noMTX_Fluconazole.ERV25_ERG5,B_noMTX_Fluconazole.HNM1_MAM33,B_noMTX_Fluconazole.SNA4_VAC8,B_noMTX_Fluconazole.HNM1_TPO4,B_noMTX_Fluconazole.ERG11_ERG5,B_noMTX_Fluconazole.ERG11_ORM2,B_noMTX_Fluconazole.FMP45_MEP1,B_noMTX_Fluconazole.HUG1_PGM2,B_noMTX_Fluconazole.TPO1_TPO2,B_noMTX_Fluconazole.RET2_EMP70,B_noMTX_Fluconazole.HNM1_RBD2,B_noMTX_Fluconazole.ERV25_ORM2,B_noMTX_Fluconazole.ERV25_PIS1,B_noMTX_Fluconazole.MID2_TPO4,B_noMTX_Fluconazole.PMC1_GTR2,B_noMTX_Fluconazole.FMP45_HNM1,B_noMTX_Fluconazole.ERG11_TPO4,B_noMTX_Fluconazole.ADE17_HYR1,B_noMTX_Fluconazole.ERG11_PIS1,B_noMTX_Fluconazole.TPO1_TCB2,B_noMTX_Fluconazole.MID2_TPO2,B_noMTX_Fluconazole.TPO1_MID2,B_noMTX_Fluconazole.ALO1_ADE17,B_noMTX_Fluconazole.ERV25_RBD2,B_noMTX_Fluconazole.HNM1_MID2
576,15.0,5.0,3.0,4.0,1081.0,5.0,581.0,24.0,20.0,4.0,4.0,4.0,5.0,2.0,52.0,12.0,2.0,4.0,1.0,255.0,10.0,6.0,16.0,155.0,3.0,7.0,11.0,2.0,12.0,194.0,16.0,341.0,4.0,658.0,4.0,187.0,6.0,4.0,10.0,3.0,11.0,19.0,10.0,28.0,7.0,108.0,2.0,5.0,0.0,5.0,110.0,208.0,5.0,6.0,8.0,8.0,30.0,3.0,70.0,50.0,14.0,4.0
578,5137.0,453.0,199.0,1960.0,1662.0,101.0,4117.0,16552.0,136.0,235.0,976.0,3753.0,50.0,270.0,1168.0,162.0,53.0,287.0,38.0,363.0,557.0,7205.0,2099.0,18453.0,1522.0,50.0,560.0,75.0,154.0,1567.0,974.0,401.0,53.0,495.0,439.0,3207.0,249.0,5245.0,6851.0,216.0,4265.0,3114.0,103.0,1895.0,57.0,153.0,28.0,1049.0,3754.0,1310.0,867.0,365.0,288.0,402.0,460.0,1103.0,16.0,705.0,37.0,690.0,164.0,1494.0
58,5.0,2.0,3.0,285.0,69.0,52.0,5.0,51.0,3.0,21.0,11.0,1.0,0.0,4.0,538.0,0.0,0.0,22.0,1.0,10.0,2.0,62.0,2.0,1.0,3.0,225.0,1.0,3.0,39.0,2.0,106.0,20.0,43.0,0.0,5.0,5.0,16.0,31.0,43.0,149.0,1.0,6.0,3.0,4.0,3.0,1.0,0.0,3.0,120.0,3.0,68.0,24.0,2.0,5.0,11.0,8.0,1.0,45.0,19.0,7.0,10.0,3.0
581,3847.0,8.0,6.0,23.0,117.0,1.0,28.0,60.0,27.0,25.0,17.0,15.0,6.0,5.0,10.0,4.0,1.0,769.0,5.0,7.0,345.0,25.0,86.0,17.0,2.0,1.0,21.0,472.0,12.0,33.0,17.0,41.0,5.0,16.0,7.0,8.0,47.0,159.0,6.0,1.0,22.0,6.0,23.0,61.0,2.0,3.0,0.0,1.0,42.0,358.0,8.0,41.0,8.0,32.0,11.0,23.0,0.0,0.0,3.0,25.0,312.0,41.0
586,26.0,6.0,19.0,2220.0,168.0,4.0,18.0,315.0,3.0,63.0,24.0,536.0,7.0,29.0,211.0,7.0,7.0,14.0,6.0,27.0,153.0,8.0,6.0,15.0,199.0,88.0,6.0,7.0,34.0,12.0,23.0,79.0,9.0,15.0,552.0,157.0,22.0,105.0,16.0,5.0,27.0,4.0,18.0,65.0,5.0,206.0,4.0,3.0,55.0,140.0,65.0,81.0,4.0,25.0,13.0,22.0,4.0,33.0,30.0,27.0,102.0,158.0
588,3.0,380.0,9.0,8.0,10.0,0.0,2.0,11.0,1915.0,3.0,13.0,6.0,3.0,18.0,1.0,0.0,3.0,18.0,1.0,5.0,14.0,7.0,4.0,31.0,0.0,1.0,0.0,2.0,4.0,3.0,3.0,14.0,1.0,4.0,0.0,0.0,6.0,359.0,2.0,2.0,10.0,4.0,2.0,4.0,0.0,3.0,1.0,1.0,192.0,0.0,11.0,9.0,5.0,5.0,29.0,8.0,0.0,3.0,2.0,101.0,14.0,2.0
589,589.0,138.0,156.0,1022.0,27913.0,70.0,435.0,256.0,162.0,416.0,978.0,1150.0,500.0,26.0,1007.0,963.0,266.0,564.0,52.0,1605.0,1399.0,6032.0,141.0,405.0,3194.0,69.0,608.0,2341.0,544.0,77.0,435.0,203.0,46.0,284.0,151.0,425.0,690.0,340.0,652.0,172.0,401.0,814.0,433.0,498.0,108.0,1953.0,749.0,260.0,393.0,55.0,245.0,315.0,251.0,55.0,156.0,253.0,883.0,1624.0,902.0,256.0,570.0,443.0
590,11.0,817.0,7.0,6.0,195.0,18.0,9.0,265.0,15.0,12.0,172.0,90.0,4.0,13.0,194.0,7.0,9.0,9.0,3.0,7.0,20.0,11.0,8.0,22.0,265.0,31.0,109.0,2.0,254.0,1.0,9.0,19.0,1.0,18.0,210.0,47.0,6.0,150.0,14.0,9.0,7.0,579.0,150.0,9.0,6.0,5.0,2.0,4.0,11.0,7.0,30.0,25.0,3.0,2.0,26.0,13.0,13.0,50.0,2.0,171.0,88.0,6.0
596,33.0,113.0,79.0,10.0,38.0,11.0,27.0,171.0,281.0,97.0,16.0,15.0,2.0,3324.0,30.0,24.0,4.0,136.0,18.0,67.0,5.0,11.0,12.0,48.0,7.0,16.0,64.0,29.0,31.0,4.0,28.0,45.0,4.0,25.0,10.0,30.0,8.0,1062.0,10.0,4.0,13.0,17.0,48.0,214.0,25.0,7.0,15.0,13.0,18433.0,11.0,9.0,110.0,236.0,6.0,12.0,6.0,5.0,6.0,3.0,2.0,39.0,20.0
598,284.0,2942.0,15.0,98.0,1616.0,42.0,13.0,525.0,57.0,16.0,169.0,133.0,28.0,22.0,50.0,8.0,16.0,276.0,6.0,6.0,43.0,5386.0,932.0,88.0,16.0,70.0,66.0,9.0,28.0,12.0,66.0,43.0,3.0,5.0,10.0,169.0,143.0,48.0,96.0,450.0,16.0,511.0,36.0,177.0,4.0,269.0,11.0,402.0,18.0,575.0,23.0,33.0,123.0,58.0,152.0,99.0,64.0,3.0,333.0,6.0,253.0,267.0
