strain_id,B_MTX_5-FC.ALO1_HYR1,B_MTX_5-FC.SNA4_GTR2,B_MTX_5-FC.ERV25_UIP4,B_MTX_5-FC.PLM2_SNA3,B_MTX_5-FC.PMC1_CTR2,B_MTX_5-FC.SSH1_PIS1,B_MTX_5-FC.ALO1_UIP4,B_MTX_5-FC.ERG11_MID2,B_MTX_5-FC.noPPI_reference,B_MTX_5-FC.ERG11_ACF2,B_MTX_5-FC.ERV25_PIS1,B_MTX_5-FC.HNM1_MAM33,B_MTX_5-FC.ADE17_PGM2,B_MTX_5-FC.TPO1_TCB2,B_MTX_5-FC.HNM1_TPO1,B_MTX_5-FC.ERG11_ERG5,B_MTX_5-FC.ERV25_EMP47,B_MTX_5-FC.SSH1_ORM2,B_MTX_5-FC.ADE17_HYR1,B_MTX_5-FC.GTR1_SLM4,B_MTX_5-FC.HNM1_RBD2,B_MTX_5-FC.TPO1_TPO2,B_MTX_5-FC.ALO1_ADE17,B_MTX_5-FC.MID2_TPO4,B_MTX_5-FC.SSH1_ERG11,B_MTX_5-FC.MID2_TPO2,B_MTX_5-FC.FMP45_MID2,B_MTX_5-FC.FMP45_HNM1,B_MTX_5-FC.HNM1_ERG11,B_MTX_5-FC.ERV25_ERG5,B_MTX_5-FC.ERG27_ACF2,B_MTX_5-FC.HNM1_MID2,B_MTX_5-FC.ERV25_ORM2,B_MTX_5-FC.HUG1_ALO1,B_MTX_5-FC.ERG11_TPO4,B_MTX_5-FC.SRO9_SGN1,B_MTX_5-FC.MID2_RSN1,B_MTX_5-FC.DHH1_LSM3,B_MTX_5-FC.RET2_SNA3,B_MTX_5-FC.MID2_PIN2,B_MTX_5-FC.HNM1_TPO2,B_MTX_5-FC.RET2_EMP47,B_MTX_5-FC.ERG11_PIS1,B_MTX_5-FC.HUG1_PGM2,B_MTX_5-FC.MID2_MAM33,B_MTX_5-FC.SRO9_DHH1,B_MTX_5-FC.ADE17_GIS2,B_MTX_5-FC.MID2_WSC2,B_MTX_5-FC.SNA4_VAC8,B_MTX_5-FC.SSH1_ERV25,B_MTX_5-FC.PLM2_HNM1,B_MTX_5-FC.PMC1_GTR2,B_MTX_5-FC.ERV25_RBD2,B_MTX_5-FC.FMP45_MEP1,B_MTX_5-FC.ERG11_ERV25,B_MTX_5-FC.RET2_EMP70,B_MTX_5-FC.ERG11_HYR1,B_MTX_5-FC.TPO1_MID2,B_MTX_5-FC.ERG11_ORM2,B_MTX_5-FC.HNM1_TPO4,B_MTX_5-FC.SRO9_GIS2,B_MTX_5-FC.HUG1_ADE17
387,9.0,1.0,5.0,1.0,2.0,78.0,2.0,2.0,2.0,6.0,2.0,2.0,1.0,5.0,0.0,1.0,3.0,127.0,2.0,6.0,3.0,6.0,2.0,7.0,3.0,34.0,0.0,9.0,78.0,4.0,1.0,3.0,3.0,6.0,2.0,18.0,144.0,3.0,2.0,22.0,5.0,0.0,4.0,25.0,269.0,3.0,0.0,2.0,1.0,4.0,1.0,2.0,1.0,3.0,6.0,1.0,2.0,1.0,0.0,2.0,5.0,12.0
392,12.0,1.0,5.0,1.0,1.0,1.0,8.0,12.0,3.0,4.0,1.0,5.0,0.0,0.0,7.0,14.0,4.0,0.0,1.0,8.0,1.0,7.0,2.0,3.0,2.0,3.0,9.0,3.0,11.0,4.0,3.0,7.0,71.0,1.0,6.0,12.0,4.0,1.0,1.0,6.0,0.0,2.0,3.0,4.0,2.0,5.0,2.0,5.0,1.0,3.0,3.0,1.0,2.0,3.0,63.0,1.0,1.0,1.0,1.0,5.0,1.0,14.0
399,6.0,12.0,4.0,3.0,0.0,7.0,5.0,936.0,3.0,1.0,5.0,17.0,6.0,1.0,9.0,508.0,1.0,2.0,5.0,14.0,3.0,79.0,1.0,0.0,74.0,3.0,6.0,14.0,1.0,67.0,1.0,58.0,113.0,0.0,20.0,239.0,5.0,40.0,5.0,3.0,6.0,10.0,34.0,3.0,4.0,2.0,6.0,11.0,8.0,7.0,6.0,5.0,1.0,9.0,651.0,5.0,269.0,5.0,146.0,0.0,71.0,2.0
40,5.0,4.0,1552.0,0.0,320.0,4.0,11.0,60.0,800.0,15.0,4.0,9.0,1.0,8.0,7.0,0.0,3.0,186.0,1.0,5.0,4.0,148.0,3.0,114.0,280.0,44.0,44.0,20.0,26.0,81.0,1027.0,5.0,9.0,5.0,3.0,18.0,187.0,1.0,8.0,185.0,11.0,7.0,36.0,2.0,0.0,6.0,2.0,2.0,4.0,22.0,6.0,55.0,1.0,4.0,13.0,10.0,15.0,3.0,0.0,2.0,5.0,4.0
400,50.0,615.0,2090.0,26.0,85.0,704.0,260.0,950.0,236.0,127.0,159.0,1375.0,12.0,571.0,3470.0,50.0,178.0,669.0,53.0,72.0,39.0,2545.0,44.0,1619.0,1853.0,1861.0,1455.0,1157.0,1475.0,1459.0,38.0,3097.0,676.0,2303.0,238.0,626.0,792.0,972.0,52.0,227.0,998.0,27.0,171.0,1681.0,188.0,68.0,6.0,32.0,63.0,1050.0,304.0,159.0,104.0,174.0,81.0,53.0,142.0,2414.0,50.0,5626.0,28.0,175.0
406,1.0,2.0,2.0,0.0,0.0,0.0,5.0,3.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,12.0,10.0,1.0,0.0,1.0,5.0,15.0,0.0,1.0,3.0,0.0,2.0,8.0,0.0,9.0,0.0,1.0,73.0,1.0,1.0,20.0,3.0,48.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,3.0,2.0,2.0,0.0,1.0,1.0,249.0,2.0,44.0,0.0,2.0,1.0,10.0,0.0
409,70.0,35.0,956.0,19105.0,1695.0,5790.0,1677.0,1510.0,654.0,525.0,78.0,5124.0,250.0,1791.0,137.0,149.0,1656.0,274.0,41.0,197.0,60305.0,431.0,656.0,1426.0,489.0,1299.0,1359.0,496.0,1740.0,120.0,187.0,1776.0,2825.0,95.0,152.0,5718.0,1163.0,400.0,25.0,1392.0,485.0,21.0,307.0,139.0,21751.0,1031.0,22.0,23718.0,14.0,656.0,3728.0,1336.0,159.0,1522.0,73.0,52.0,29.0,110.0,303.0,1007.0,1276.0,126.0
40_2,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,0.0,9.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,3.0
411,2.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,6.0,14.0,3.0,2.0,5.0,2.0,10.0,2.0,1.0,1.0,1.0,0.0,2.0,5.0,1.0,0.0,5.0,7.0,1.0,1.0,10.0,0.0,0.0,0.0,3.0,3.0,8.0,0.0,7.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,6.0,2.0
412,4.0,0.0,309.0,3.0,2.0,23.0,283.0,172.0,2927.0,11.0,1.0,142.0,13.0,0.0,13.0,10.0,3.0,17.0,3.0,2.0,3194.0,9.0,1.0,22.0,43.0,25.0,73.0,33.0,129.0,112.0,4.0,90.0,25.0,264.0,5.0,0.0,18.0,0.0,1.0,23.0,3.0,0.0,5.0,28.0,0.0,19.0,1.0,8.0,1.0,8.0,11.0,11.0,1.0,100.0,3.0,2.0,1.0,2.0,6.0,8.0,202.0,3.0
