strain_id,A_noMTX_Trifluoperazine.ERG11_MID2,A_noMTX_Trifluoperazine.TPO1_TCB2,A_noMTX_Trifluoperazine.SNA4_GTR2,A_noMTX_Trifluoperazine.HNM1_MID2,A_noMTX_Trifluoperazine.SNA4_VAC8,A_noMTX_Trifluoperazine.noPPI_reference,A_noMTX_Trifluoperazine.RET2_EMP70,A_noMTX_Trifluoperazine.SRO9_GIS2,A_noMTX_Trifluoperazine.MID2_MAM33,A_noMTX_Trifluoperazine.RET2_SNA3,A_noMTX_Trifluoperazine.HNM1_RBD2,A_noMTX_Trifluoperazine.TPO1_MID2,A_noMTX_Trifluoperazine.ERV25_PIS1,A_noMTX_Trifluoperazine.ALO1_ADE17,A_noMTX_Trifluoperazine.ERV25_ORM2,A_noMTX_Trifluoperazine.ADE17_HYR1,A_noMTX_Trifluoperazine.ERG11_HYR1,A_noMTX_Trifluoperazine.PMC1_CTR2,A_noMTX_Trifluoperazine.FMP45_MEP1,A_noMTX_Trifluoperazine.ERV25_EMP47,A_noMTX_Trifluoperazine.ADE17_PGM2,A_noMTX_Trifluoperazine.FMP45_MID2,A_noMTX_Trifluoperazine.ERG11_TPO4,A_noMTX_Trifluoperazine.ERG11_ERV25,A_noMTX_Trifluoperazine.HUG1_ADE17,A_noMTX_Trifluoperazine.PLM2_HNM1,A_noMTX_Trifluoperazine.SRO9_SGN1,A_noMTX_Trifluoperazine.HUG1_PGM2,A_noMTX_Trifluoperazine.ADE17_GIS2,A_noMTX_Trifluoperazine.GTR1_SLM4,A_noMTX_Trifluoperazine.TPO1_TPO2,A_noMTX_Trifluoperazine.HNM1_TPO1,A_noMTX_Trifluoperazine.HNM1_TPO2,A_noMTX_Trifluoperazine.ALO1_UIP4,A_noMTX_Trifluoperazine.MID2_WSC2,A_noMTX_Trifluoperazine.ERG11_PIS1,A_noMTX_Trifluoperazine.ERG11_ERG5,A_noMTX_Trifluoperazine.ERV25_RBD2,A_noMTX_Trifluoperazine.SSH1_PIS1,A_noMTX_Trifluoperazine.SRO9_DHH1,A_noMTX_Trifluoperazine.HNM1_MAM33,A_noMTX_Trifluoperazine.SSH1_ERG11,A_noMTX_Trifluoperazine.SSH1_ORM2,A_noMTX_Trifluoperazine.ERG11_ORM2,A_noMTX_Trifluoperazine.RET2_EMP47,A_noMTX_Trifluoperazine.DHH1_LSM3,A_noMTX_Trifluoperazine.MID2_TPO2,A_noMTX_Trifluoperazine.ERV25_UIP4,A_noMTX_Trifluoperazine.PLM2_SNA3,A_noMTX_Trifluoperazine.ALO1_HYR1,A_noMTX_Trifluoperazine.HUG1_ALO1,A_noMTX_Trifluoperazine.HNM1_TPO4,A_noMTX_Trifluoperazine.SSH1_ERV25,A_noMTX_Trifluoperazine.ERV25_ERG5,A_noMTX_Trifluoperazine.FMP45_HNM1,A_noMTX_Trifluoperazine.HNM1_ERG11,A_noMTX_Trifluoperazine.MID2_TPO4,A_noMTX_Trifluoperazine.MID2_RSN1,A_noMTX_Trifluoperazine.ERG27_ACF2,A_noMTX_Trifluoperazine.PMC1_GTR2,A_noMTX_Trifluoperazine.MID2_PIN2,A_noMTX_Trifluoperazine.ERG11_ACF2
532,10.0,2.0,26.0,292,13.0,8.0,0.0,12.0,2.0,2.0,16.0,1.0,13.0,6.0,6.0,8.0,40.0,1.0,15.0,21.0,4.0,4.0,20.0,11.0,5.0,11.0,11.0,28.0,37.0,8.0,11.0,3.0,7.0,19.0,6.0,9.0,8.0,14.0,8.0,5.0,2.0,18.0,14.0,4.0,1.0,6.0,6.0,13.0,10.0,13.0,4.0,3.0,12.0,10.0,17.0,8.0,8.0,8.0,20.0,2.0,14.0,2.0
535,1173.0,13.0,147.0,605,28.0,130.0,17.0,213.0,906.0,13.0,22.0,56.0,461.0,480.0,1254.0,23.0,877.0,35.0,311.0,121.0,633.0,197.0,391.0,384.0,69.0,602.0,98.0,561.0,58.0,34.0,105.0,16.0,220.0,191.0,439.0,405.0,136.0,17.0,628.0,333.0,42.0,335.0,1821.0,699.0,14.0,14.0,516.0,215.0,54.0,28.0,143.0,310.0,281.0,155.0,1080.0,125.0,174.0,320.0,14.0,17.0,396.0,33.0
538,777.0,16.0,97.0,669,739.0,332.0,53.0,556.0,291.0,37.0,531.0,21.0,848.0,195.0,472.0,606.0,312.0,44.0,732.0,476.0,7311.0,168.0,857.0,201.0,91.0,356.0,377.0,77.0,399.0,18.0,26.0,38.0,999.0,435.0,28.0,372.0,374.0,8.0,702.0,227.0,1057.0,1005.0,982.0,175.0,97.0,8.0,170.0,193.0,54.0,2143.0,35.0,785.0,326.0,300.0,655.0,97.0,134.0,256.0,18.0,190.0,129.0,38.0
539,1933.0,2.0,331.0,705,18.0,74.0,24.0,368.0,429.0,14.0,27.0,18.0,92.0,437.0,150.0,18.0,344.0,81.0,542.0,228.0,14.0,220.0,700.0,1785.0,451.0,334.0,410.0,997.0,585.0,33.0,31.0,16.0,305.0,216.0,173.0,301.0,221.0,43.0,172.0,414.0,78.0,616.0,1410.0,561.0,9.0,561.0,499.0,110.0,117.0,54.0,113.0,88.0,879.0,100.0,557.0,61.0,312.0,357.0,142.0,110.0,457.0,30.0
540,168.0,53.0,899.0,361,270.0,351.0,39.0,435.0,326.0,41.0,1110.0,1130.0,260.0,95.0,268.0,1079.0,456.0,465.0,681.0,185.0,325.0,350.0,185.0,207.0,2604.0,205.0,613.0,1285.0,195.0,2161.0,885.0,56.0,777.0,129.0,419.0,212.0,368.0,123.0,596.0,423.0,214.0,123.0,708.0,63.0,41.0,1118.0,3318.0,399.0,27.0,151.0,786.0,146.0,96.0,756.0,201.0,48.0,1217.0,2300.0,1329.0,1463.0,1247.0,32.0
541,188.0,7.0,38.0,263,2.0,51.0,24.0,87.0,49.0,14.0,1144.0,264.0,159.0,86.0,258.0,10.0,47.0,26.0,119.0,101.0,3.0,282.0,57.0,28.0,73.0,26.0,13.0,355.0,13.0,1258.0,140.0,5.0,4.0,87.0,5.0,116.0,5.0,389.0,35.0,44.0,7.0,22.0,743.0,47.0,23.0,19.0,100.0,154.0,7.0,13.0,79.0,7.0,72.0,18.0,153.0,17.0,18.0,58.0,29.0,121.0,96.0,17.0
543,82.0,0.0,3.0,41,27.0,55.0,1.0,4.0,22.0,2.0,17.0,5.0,4.0,4.0,54.0,2.0,5.0,2.0,7.0,3.0,0.0,2.0,5.0,16.0,13.0,67.0,6.0,33.0,20.0,14.0,10.0,2.0,10.0,1.0,1.0,8.0,8.0,3.0,10.0,19.0,3.0,14.0,3.0,1.0,1.0,3.0,69.0,2.0,6.0,3.0,11.0,13.0,3.0,7.0,1.0,4.0,17.0,22.0,41.0,4.0,29.0,3.0
545,122.0,1.0,129.0,249,7.0,82.0,54.0,166.0,17.0,30.0,16.0,128.0,330.0,388.0,31.0,6.0,26.0,24.0,118.0,218.0,4.0,183.0,175.0,366.0,80.0,63.0,170.0,67.0,33.0,7.0,117.0,5.0,30.0,184.0,4.0,63.0,61.0,4.0,26.0,183.0,93.0,57.0,115.0,54.0,114.0,4.0,107.0,154.0,4.0,230.0,25.0,76.0,20.0,76.0,115.0,17.0,94.0,55.0,5.0,72.0,124.0,5.0
546,1056.0,17.0,548.0,242,115.0,298.0,13.0,477.0,113.0,12.0,81.0,252.0,22.0,207.0,29.0,89.0,275.0,47.0,1282.0,364.0,18.0,133.0,1252.0,200.0,358.0,237.0,391.0,419.0,1967.0,15.0,392.0,19.0,797.0,302.0,176.0,173.0,137.0,121.0,111.0,369.0,142.0,571.0,719.0,204.0,18.0,834.0,801.0,394.0,977.0,21.0,116.0,286.0,692.0,395.0,169.0,31.0,167.0,321.0,590.0,50.0,511.0,17.0
557,99.0,3.0,60.0,139,12.0,315.0,6.0,27.0,22.0,4.0,14.0,12.0,121.0,5.0,50.0,413.0,41.0,68.0,273.0,28.0,125.0,48.0,177.0,137.0,950.0,100.0,34.0,2149.0,113.0,16.0,12.0,10.0,6.0,136.0,6.0,60.0,50.0,53.0,69.0,59.0,35.0,62.0,279.0,45.0,9.0,183.0,110.0,60.0,5.0,61.0,152.0,11.0,63.0,159.0,129.0,17.0,8.0,99.0,192.0,57.0,110.0,9.0
